Frequency (MHz),Return Loss (dB)
30,0.013471463
50,0.013471463
70,0.013471463
90,-0.026057478
110,-0.026057478
130,-0.06558642
150,-0.184173244
170,-0.579462659
190,-2.654732089
210,-6.666919652
230,-4.453298927
250,-4.53235681
270,-5.639167173
290,-6.153043412
310,-5.757753997
330,-5.718225056
350,-6.666919652
370,-7.536556365
390,-8.564308844
410,-9.552532382
430,-10.97557428
450,-11.25227687
470,-11.01510322
490,-11.25227687
510,-11.44992157
530,-12.79390559
550,-14.53317901
570,-16.27245244
610,-18.92089152
630,-19.31618094
650,-18.13031269
670,-16.47009715
690,-15.79810514
710,-15.04705525
730,-14.05883171
750,-12.28002935
770,-10.30358227
790,-9.394416616
810,-8.524779903
830,-8.327135195
850,-8.287606254
870,-7.971374722
890,-7.773730014
910,-7.65514319
930,-7.378440599
950,-7.338911658
970,-7.457498482
990,-7.497027424
1010,-7.773730014
1030,-8.089961546
1050,-8.089961546
1070,-8.485250961
1090,-9.117714026
1110,-9.75017709
1130,-10.54075592
1150,-11.48945052
1170,-11.44992157
1190,-11.13369004
1210,-9.789706031
1230,-8.050432605
1250,-6.706448593
1279,-4.967175167
1290,-3.74177798
1310,-2.714025501
1330,-1.923446671
1350,-1.330512548
1370,-0.974752074
1390,-0.737578425
1410,-0.658520542
1430,-0.539933718
1450,-0.223702186
1470,-0.302760069
1490,-0.302760069