Frequency (MHz),VSWR,,
10,3.8,,
20,4.648360633,,
30,4.648360633,,
40,4.782183125,,
50,4.959917079,,
60,5.08206121,,
70,5.02061771,,
80,5.000302071,,
90,3.968480252,,
100,3.266633557,,
110,2.108248788,,
120,2.065938059,,
130,1.959861731,,
140,2.065938059,,
150,2.099717881,,
160,2.142720426,,
170,2.231385649,,
180,2.27708477,,
190,2.333160816,,
200,2.371309955,,
210,2.459441731,,
220,2.550849001,,
230,2.603090781,,
240,2.550849001,,
250,2.469434154,,
260,2.380944308,,
270,2.323719816,,
280,2.249554197,,
290,2.160167038,,
300,2.195487583,,
310,2.222356476,,
320,2.213363839,,
330,2.134050032,,
340,2.049252489,,
350,1.983846979,,
360,1.920529002,,
370,1.851708655,,
380,1.799891261,,
390,1.742444555,,
400,1.659693971,,
410,1.619804275,,
420,1.593745203,,
430,1.549146544,,
440,1.493634337,,
450,1.434284031,,
460,1.382887815,,
470,1.322564653,,
480,1.204802671,,
490,1.175846,,
500,1.142941647,,
510,1.124554241,,
520,1.115471767,,
530,1.101985411,,
540,1.09752629,,
550,1.120003798,,
560,1.147585285,,
570,1.175846,,
580,1.301287509,,
590,1.574476391,,
600,1.555440544,,
610,1.542878012,,
620,1.499702798,,
630,1.445962362,,
640,1.275171795,,
650,1.142941647,,
660,1.075499888,,
700,1.1383168,,
710,1.209697643,,
720,1.254657098,,
730,1.317212971,,
740,1.366168326,,
750,1.463658389,,
760,1.536634846,,
770,1.686831362,,
780,1.86678577,,
790,1.93616647,,
800,2,,
810,2.18660367,,
820,2.240451506,,
830,2.295625413,,
840,2.342640174,,
850,2.489540957,,
860,2.571618707,,
870,2.645653501,,
880,2.688912158,,
890,2.710806011,,
900,2.73287813,,
910,2.710806011,,
920,2.67803163,,
930,2.645653501,,
940,2.613666832,,
950,2.582066891,,
960,2.550849001,,
970,2.520008544,,
980,2.509811476,,
990,2.469434154,,
1000,2.449489743,,
1010,2.419874747,,
1020,2.400330603,,
1030,2.390617804,,