notch_freq_MHz,notch_loss_dB,vlx300_freq,vlx300_loss_dB,shp25_freq_MHz,shp25_loss_dB,snal_gain_freq_MHz,snal_gain_dB,snal_nf_freq_MHz,snal_nf_dB,biastee_freq,biasstee_loss_dB,zrlr5_freq_MHz,zklr5_gain_dB,zklr5_nf_freq_MHz,zkl5r_nf_dB,shp50_freq_MHz,shp50_loss_dB,shp250_freq_MHz,shp250_loss_dB,zx60_gain_freq_MHz,zx60_gain_dB,zx60_nf_freq_MHz,zx60_nf_dB,vlfx1300_freq_MHz,vlfx1300_loss_dB
9.539473684,0.05,10,0.38,10,67.19,17.60879939,39.09014366,12.71809436,1.946200332,10,0.29,10,40.52,10,3.01,10,69.2,10,72.15,50,25.29,50,1.2,10,0.21
29.44078947,0.05,20,0.38,11,68.52,34.48446147,39.05583137,11.93111826,1.899438833,20,0.29,110,41.08,110,2.83,13.97849462,58.64810287,43.41571696,65.17466321,83.91077598,24.95444795,50.68751535,1.120795107,50,0.21
49.34210526,0.25,50,0.38,12,58.67,51.36012356,39.05583137,16.33818439,1.813036828,25,0.29,260,41.1,260,2.88,21.50537634,39.01843456,106.1992336,50.72340481,163.2493462,24.11261007,54.77800844,1,300,0.34
69.24342105,0.484455541,100,0.39,13,53.2,68.23578564,39.05583137,14.02972118,1.773396323,30,0.42,360,40.98,360,2.94,25.44802867,24.18788436,137.9481392,32.63086911,242.6179178,23.14566655,61.42436215,0.845565749,600,0.46
75,1.16,200,0.64,14,48.6,85.11144772,39.05583137,15.07902264,1.69347741,35,0.42,510,40.9,510,2.97,27.95698925,16.98864456,157.8981634,22.53301757,321.9819892,22.19748889,77.70541753,0.717889908,1300,0.95
81,2.94,300,0.95,15,43.62,101.9871098,39.05583137,15.23641786,1.638993205,40,0.42,610,40.77,610,3.04,29.74910394,10.22586786,172.7389973,14.25407898,401.3355601,21.29309819,121.9216668,0.602637615,1600,1.27
83,4.86,350,1.21,16,38.71,118.8627719,39.05583137,16.65297483,1.583744421,45,0.42,710,40.62,710,3.05,32.25806452,6.840644193,182.2939273,9.657084738,480.6876309,20.39496277,191.5723565,0.518348624,1750,1.58
84.91571439,8.634479324,400,1.79,17,34.04,135.738434,39.05583137,17.43995092,1.522885705,50,0.42,810,40.5,810,3.03,31.89964158,4.393970561,190.5529582,6.506960076,560.0337015,19.52184848,272.08501,0.457881568,1850,2.14
86.01237136,12.87588657,450,2.85,18,29.51,152.6140961,39.17020567,19.68845405,1.461243666,100,0.64,910,40.33,910,3.01,34.40860215,2.682695795,198.9049963,4.038271494,639.3692716,18.69252116,352.5200441,0.418682235,1925,3.07
86.95434918,18.7209508,500,6.46,25,1.37,169.4897581,39.30745483,20.27306486,1.351113199,150,0.64,1010,40.08,1010,3.01,34.05017921,1.668100537,199.2790916,2.900968,718.6973414,17.89447025,432.8972441,0.395329441,2100,9.35
87.74037507,24.753704,580,29.41,27,0.47,186.3654202,39.30745483,20.19436725,1.288318151,200,0.64,1110,39.84,1110,2.99,37.6344086,0.93566402,206.4695743,1.590001693,798.0179108,17.12769575,513.2257416,0.385321101,2300,33.88
88.42206301,30.49995054,650,41.12,28,0.45,203.2410823,39.2960174,32.98272878,1.212383712,300,0.4,1210,39.84,1210,2.98,48.38709677,0.561607768,212.186411,1.014220229,877.3219795,16.42972934,593.4994491,0.390325271,2500,55.25
89.05167148,36.20253229,800,38.18,29,0.42,220.1167444,39.30745483,33.37621683,1.164844706,400,0.4,1310,39.65,1310,2.99,66.66666667,0.381720981,216.5856471,0.655881839,956.6140476,15.78180518,673.7533711,0.400750626,3000,68.08
89.68127995,41.90511403,900,44.02,30,0.39,236.9924065,39.30745483,36.32737718,1.111261452,500,0.4,1410,39.21,1410,3.02,89.24731183,0.273671415,240.5070747,0.427560335,1035.895615,15.177668,753.9981615,0.413678065,4000,81.32
90.31132606,48.09457311,1000,60.37,50,0.25,253.8680685,39.30745483,46.12085746,1.012104392,550,0.4,1500,38.93,1500,3.06,112.9032258,0.236056451,299.5099371,0.297781875,1115.165182,14.62357306,834.2459958,0.425771476,5000,72.73
90.9415711,54.50534005,2500,79.1,100,0.18,270.7437306,39.30745483,62.21889068,0.952794439,580,0.4,,,,,136.5591398,0.226829667,385.7309062,0.231764079,1194.433249,14.07573341,914.4846983,0.440366972,7500,53.99
91.57177636,60.87184542,5000,61.32,150,0.2,287.6193927,39.30745483,83.54594283,0.887676863,600,0.4,,,,,160.2150538,0.226829667,471.8656324,0.194675494,1273.692316,13.56542544,994.7066594,0.459549625,10000,72.31
92.253811,67.00379997,7500,60.77,200,0.21,304.4950548,39.30745483,101.0343005,0.849580088,700,0.47,,,,,183.8709677,0.228721694,557.8769127,0.182381016,1352.943882,13.08639389,1074.928621,0.478732277,,
92.98724306,72.42064945,10000,79.72,250,0.23,321.3707169,39.30745483,147.2910065,0.869835304,800,0.47,,,,,207.5268817,0.231781818,643.795186,0.185508025,1432.187948,12.63863874,1155.168845,0.492910759,,
93.66981878,79.15456142,12500,62.16,300,0.24,338.246379,39.30745483,172.1715584,0.838484016,900,0.5,,,,,231.1827957,0.232939891,729.7134592,0.188688649,1511.432014,12.19088359,1235.421245,0.503753128,,
94.55796331,83.00483016,15000,51.6,350,0.27,355.122041,39.30745483,190.5746916,0.837558895,1000,0.51,,,,,254.8387097,0.238421204,815.6165131,0.194523949,1590.66858,11.77440485,1315.710172,0.504587156,,
95.44650426,87.29610514,20000,71.48,400,0.28,371.9977031,39.30745483,207.8881657,0.817711348,1100,0.51,,,,,278.4946237,0.242818284,901.5550788,0.194340737,1669.903646,11.36418139,1396.002143,0.504587156,,
96.33473415,91.24133508,,,450,0.3,388.8733652,39.30745483,225.2016398,0.804268193,1200,0.51,,,,,302.1505376,0.249773809,987.4919535,0.194448221,1749.137211,10.96021321,1476.306289,0.501251043,,
97.21469947,85.99222877,,,500,0.32,405.7490273,39.30745483,242.5151138,0.791534798,1300,0.51,,,,,325.8064516,0.256076313,1073.403463,0.198968571,1828.363276,10.58752144,1556.616524,0.496246872,,
98.0930806,78.98070702,,,550,0.35,422.6246894,39.30745483,260.9653312,0.759599992,1450,0.52,,,,,349.4623656,0.262974368,1159.306516,0.205121783,1907.586341,10.22734023,1636.882621,0.503336113,,
99.23743265,78.38815349,,,600,0.36,439.5003515,39.30745483,294.4555361,0.727028803,1600,0.57,,,,,373.1182796,0.269609959,1245.212952,0.210833864,1986.807906,9.873414304,1717.166982,0.505421184,,
100.177926,82.58168615,,,650,0.39,456.3760135,39.30745483,317.8399686,0.743585977,1800,0.65,,,,,396.7741935,0.277332932,1331.119388,0.21670501,2066.018971,9.563275347,1797.426992,0.514178482,,
101.1190858,87.5167439,,,700,0.41,473.2516756,39.30745483,331.5745752,0.760848798,2000,0.78,,,,,420.4301075,0.283858859,1417.024133,0.223072942,2145.225535,9.271902236,1877.687002,0.52293578,,
101.9466657,81.88356104,,,750,0.43,490.1273377,39.30745483,351.1178148,0.755407493,2200,0.84,,,,,444.0860215,0.289574598,1502.928878,0.229627997,2224.432099,8.980529124,1957.942446,0.53294412,,
102.409775,76.04008824,,,800,0.45,507.0029998,39.30745483,371.0545425,0.748950313,2400,0.94,,,,,467.7419355,0.297375013,1588.830241,0.237083591,2303.632663,8.714177138,2038.203978,0.541284404,,
102.8724149,69.67432885,,,1000,0.45,523.8786619,39.30745483,385.744763,0.748497899,2800,1.41,,,,,491.3978495,0.30437255,1674.731604,0.244781255,2382.836228,8.435314589,2118.471597,0.547956631,,
103.4911755,63.30867603,,,,,540.754324,39.30745483,409.3540458,0.753433323,,,,,,,515.0537634,0.313091297,1760.634658,0.252351249,2462.039792,8.15645204,2198.748349,0.552126772,,
104.266374,57.29595776,,,,,557.629986,39.30745483,426.9626359,0.76399873,,,,,,,538.7096774,0.324207092,1846.530948,0.261715952,2541.243356,7.877589492,2278.994661,0.564637198,,
105.0935781,51.24470421,,,,,574.5056481,39.30745483,442.6318921,0.766563678,,,,,,,562.3655914,0.336275732,1932.427237,0.271428178,2620.44692,7.598726943,2359.180095,0.59382819,,
105.9726428,44.99367679,,,,,591.3813102,39.30745483,462.9733503,0.767529443,,,,,,,586.0215054,0.348793628,2018.321836,0.281922038,2699.647484,7.332374957,2439.257471,0.652627189,,
106.9039461,38.96336046,,,,,608.2569723,39.21595539,478.028065,0.75977491,,,,,,,609.6774194,0.363585086,2104.211362,0.294138042,2778.845048,7.078533534,2515.589634,0.737614679,,
107.8353821,33.08058271,,,,,625.1326344,39.05583137,501.6118587,0.739707149,,,,,,,633.3333333,0.376493581,2190.097505,0.30780246,2858.029111,6.880989645,2588.215697,0.838073394,,
108.7670833,27.49288213,,,,,642.0082965,39.05583137,516.6076449,0.770485214,,,,,,,656.9892473,0.386635375,2275.987031,0.321139892,2937.196674,6.752253851,2660.830041,0.941743119,,
109.7508427,21.92524017,,,,,658.8839585,39.05583137,535.2702209,0.741835076,,,,,,,680.6451613,0.386635375,2361.869792,0.337065158,2991.155602,6.743523459,2737.121263,1.03794829,,
110.8385696,16.23193572,,,,,675.7596206,39.05583137,554.8321981,0.730659866,,,,,,,704.3010753,0.395733301,2447.754245,0.353251578,,,2817.203205,1.095496247,,
111.9789937,11.2695576,,,,,692.6352827,39.05583137,568.3232168,0.747593071,,,,,,,727.9569892,0.409783165,2533.630242,0.372993403,,,2893.991495,1.055504587,,
113.1207416,7.779882802,,,,,709.5109448,39.05583137,591.9324996,0.746276958,,,,,,,751.6129032,0.425037383,2619.511312,0.39207587,,,2960.082117,0.946674312,,
114.2637482,5.690483282,,,,,726.3866069,38.94145708,607.9343469,0.749855141,,,,,,,775.2688172,0.43359587,2705.390692,0.412751289,,,2996.76053,0.896788991,,
115.4075794,4.518505498,,,,,743.262269,38.8728325,626.5594478,0.751705925,,,,,,,793.5483871,0.440737389,2791.270071,0.434516989,,,3000,0.9,,
116.5516927,3.660382518,,,,,760.137931,38.80420792,645.1845487,0.75211721,,,,,,,800,0.46,2877.152833,0.456064605,,,,,,
117.6960231,3.04368631,,,,,777.0135931,38.80420792,661.1863959,0.75886229,,,,,,,,,2959.130818,0.478057518,,,,,,
118.8405704,2.668416875,,,,,793.8892552,38.80420792,686.7328507,0.760031967,,,,,,,,,3000,0.51,,,,,,
119.9851612,2.341432795,,,,,810.7649173,38.80420792,702.1091528,0.776994588,,,,,,,,,,,,,,,,
120.765637,2.199696291,,,,,827.6405794,38.80420792,720.9965791,0.785813231,,,,,,,,,,,,,,,,
128.9473684,1.472866081,,,,,844.5162414,38.71270848,738.3100531,0.79760537,,,,,,,,,,,,,,,,
140,1,,,,,861.3919035,38.66695876,755.6235272,0.79760537,,,,,,,,,,,,,,,,
500,0.49,,,,,878.2675656,38.67839619,772.9370013,0.801306938,,,,,,,,,,,,,,,,
1000,0.66,,,,,895.1432277,38.66695876,790.2504754,0.803034337,,,,,,,,,,,,,,,,
,,,,,,912.0188898,38.62120904,808.1935303,0.813951848,,,,,,,,,,,,,,,,
,,,,,,928.8945519,38.55258446,824.0904474,0.815377598,,,,,,,,,,,,,,,,
,,,,,,945.7702139,38.55258446,842.1908976,0.812535028,,,,,,,,,,,,,,,,
,,,,,,962.645876,38.55258446,859.032186,0.830087463,,,,,,,,,,,,,,,,
,,,,,,979.5215381,38.55258446,876.8178457,0.828128619,,,,,,,,,,,,,,,,
,,,,,,996.3972002,38.55258446,894.1313198,0.82976854,,,,,,,,,,,,,,,,
,,,,,,1013.272862,38.55258446,911.4447939,0.826900638,,,,,,,,,,,,,,,,
,,,,,,1030.148524,38.55258446,930.5570704,0.813193085,,,,,,,,,,,,,,,,
,,,,,,1047.024186,38.55258446,945.9143468,0.849695926,,,,,,,,,,,,,,,,
,,,,,,1063.899849,38.55258446,968.1070726,0.86275297,,,,,,,,,,,,,,,,
,,,,,,1080.775511,38.55258446,982.7972931,0.864768268,,,,,,,,,,,,,,,,
,,,,,,1097.651173,38.55258446,1002.734021,0.873117361,,,,,,,,,,,,,,,,
,,,,,,1114.526835,38.55258446,1020.047495,0.870649649,,,,,,,,,,,,,,,,
,,,,,,1131.402497,38.55258446,1037.360969,0.875091531,,,,,,,,,,,,,,,,
,,,,,,1148.278159,38.55258446,1057.297697,0.887841377,,,,,,,,,,,,,,,,
,,,,,,1165.153821,38.43821017,1071.987917,0.892612287,,,,,,,,,,,,,,,,
,,,,,,1182.029483,38.42677274,1094.023248,0.872377047,,,,,,,,,,,,,,,,
,,,,,,1198.905145,38.32383587,1111.926954,0.891347584,,,,,,,,,,,,,,,,
,,,,,,1215.780807,38.30096101,1127.86322,0.882593376,,,,,,,,,,,,,,,,
,,,,,,1232.656469,38.30096101,1150.685526,0.892859058,,,,,,,,,,,,,,,,
,,,,,,1249.532131,38.16371185,1166.649899,0.904386799,,,,,,,,,,,,,,,,
,,,,,,1266.407794,38.04933755,1185.312475,0.90544439,,,,,,,,,,,,,,,,
,,,,,,1283.283456,37.9921504,1203.075649,0.907101282,,,,,,,,,,,,,,,,
,,,,,,1300.159118,37.80915153,1219.939423,0.917042637,,,,,,,,,,,,,,,,
,,,,,,1317.03478,37.72908952,1239.5014,0.909040199,,,,,,,,,,,,,,,,
,,,,,,1333.910442,37.54609064,1253.779395,0.911909796,,,,,,,,,,,,,,,,
,,,,,,1350.786104,37.48890349,1276.601702,0.930368282,,,,,,,,,,,,,,,,
,,,,,,1367.661766,37.30590462,1292.566074,0.929592716,,,,,,,,,,,,,,,,
,,,,,,1384.537428,37.28302976,1311.22865,0.929627969,,,,,,,,,,,,,,,,
,,,,,,1401.41309,37.10003088,1329.132356,0.938851043,,,,,,,,,,,,,,,,
,,,,,,1418.288752,37.04284373,1345.855598,0.92790057,,,,,,,,,,,,,,,,
,,,,,,1435.164414,36.85984486,1370.940461,0.945739044,,,,,,,,,,,,,,,,
,,,,,,1452.040076,36.79122028,1385.429253,0.969120763,,,,,,,,,,,,,,,,
,,,,,,1468.915739,36.66540855,1404.091829,0.955273236,,,,,,,,,,,,,,,,
,,,,,,1485.791401,36.51672196,1428.712938,0.944019179,,,,,,,,,,,,,,,,
,,,,,,1497.297534,36.38233216,1446.363688,0.970014512,,,,,,,,,,,,,,,,
,,,,,,,,1461.494791,0.951929796,,,,,,,,,,,,,,,,
,,,,,,,,1479.641534,0.983670864,,,,,,,,,,,,,,,,
,,,,,,,,1496.955008,0.977190182,,,,,,,,,,,,,,,,
,,,,,,,,1514.268482,0.988787254,,,,,,,,,,,,,,,,
,,,,,,,,1531.581956,0.992554628,,,,,,,,,,,,,,,,
,,,,,,,,1545.747526,0.987760216,,,,,,,,,,,,,,,,
,,,,,,,,125.9669811,0.848484848,,,,,,,,,,,,,,,,
,,,,,,,,277.0754717,0.739393939,,,,,,,,,,,,,,,,